"espacio_cultural_id,provincia_id,localidad_id,observaciones,provincia,localidad,nombre,direccion,codigo_postal,codigo_indicativo_telefono,telefono,mail,web,latitud,longitud,fuente,juridisccion,anio_de_creacion,descripcion_de_patrimonio,anio_de_inauguracion,"
"300918,6,6805010,,Buenos Aires,Tigre,Museo De Arte Tigre,Paseo Victorica 972,B1648DVT,11,45124528,museodearte@tigre.gov.ar,,-34.4101,-58.5893,DNPyM,Municipal,,Colecciones de pintura argentina figurativa de mediados del siglo XIX a mediados del siglo XX.,2006,"
"300787,6,6756010,,Buenos Aires,San Isidro,Museo Biblioteca Y Archivo Historico Municipal De San Isidro Dr. Horacio Beccar Varela,Adrian Beccar Varela 774,B1642DMD,11,45754038,,,-34.467301,-58.507225,DNPyM,Municipal,2009,Testimonios del pasado Sansidrense cuadros mobiliario y objetos pertenecientes a proceres o personajes destacados en el ambito local. Casa museo recuerda a sus antiguos propietarios Mariquita Sanchez de Thompson Pascuala Belaustegui de Arana entre o,2006,"
"300574,6,6568010,,Buenos Aires,Mor—n,Museo De La Catedral De Moron Inmaculada Concepcion Del Buen Viaje,Gral. Manuel Belgrano 327,B1708IFG,11,46290969,mensajes@catedraldemoron.org.ar,,-34.6521,-58.6212,DNPyM,,,Imagineria estandartes atriles documentos manuscritos fotos libros sacramentales imagenes del siglo XVIII y XIX. Pinturas de las bienales de arte sacro.,,"
"300575,6,6568010,,Buenos Aires,Mor—n,Museo Historico Y De Arte Gral. Jose De San Martin,Casullo 59,B1708IPA,11,46291456,arteycultura@moron.gov.ar,,-34.6492,-58.6241,DNPyM,Municipal,1954,Historia arte arqueologia instrumentos musicales medallistica numismatica mobiliario armas vestimentas fotografias y documentos dMoron y de todo el pais.,1955,"
"300262,6,6840010,Codigo en Tres de Febrero,Buenos Aires,Ciudadela,Museo Historico Del Ejercito Argentino,Carlos Pellegrini 4000,B1702BDV,11,46531818,museoejercito@gmail.com jorgenemi@hotmail.com,www.dahe.ejercito.mil.ar,-34.6311,-58.5433,DNPyM,Nacional,1993,Desarrollo de la historia militar desde las postrimerias de Virreinato hasta nuestros dias. Expresando hechos y circunstancias que hicieron a la formacion nacional. Atraves de sus salas Malvinas Del Libertador Misiones de paz ONU de infanteria.,1993,"
"300824,6,6760010,,Buenos Aires,San Miguel,Museo Mariposas Del Mundo,Italia 650,B1663NXN,11,46642108,mariposas@newroad.com.ar,,-34.5401,-58.7037,DNPyM,Privada,1994,Lepidopteros y coleopteros de todo el mundo muestras de ambar fosil con restos de insectos.,2000,"
"300576,6,6568010,,Buenos Aires,Mor—n,Museo Nacional De Aeronautica Brig. Edmundo H. Civati Bernasconi,Avda. Eva Peron 2200,B1708FEU,11,46979780,museonacionalaeronautica@yahoo.com.ar,,-34.6761,-58.638,DNPyM,Nacional,1960,Objetos referidos a la historia aeronautica y espacial nacional y mundial desde sus origenes hasta el presente. Modelos de aviones y motores fotografias documentos instrumentos etc. En el parque del museo se exiben aviones de distinto tipo.,1962,"
"300578,6,6861010,Codigo en Vicente Lopez,Buenos Aires,Munro,Museo Del Cine Lumiton,Sargento Cabral 2354,B1605EEH,11,47219255,,,-34.528,-58.515868,DNPyM,Municipal,2005,Este museo es un homenaje al cine argentino en general y al producto en los estudios cinematograficos Lumiton en particular. Se busca recuperar el ambito que durante cuatro decadas albergo a las mas rutilantes estrellas de nuestra cinematografia.,1905,"
"300057,6,6756010,Codigo en San Isidro,Buenos Aires,Beccar,Museo Lucy Mattos,Av. Libertador 17426,B1643CRO,11,47322585,,,-34.458953,-58.520181,DNPyM,Privada,,Se exhibe la obra de Lucy Mattos dibujos escultura joyeria.,2012,"
"300916,6,6805010,,Buenos Aires,Tigre,Museo Naval De La Nacion,Paseo Victorica 602,B1648DVN,11,47490608,museonaval@ara.mil.ar,www.ara.mil.ar,-34.4124,-58.5868,DNPyM,Nacional,1892,Historia de la navegacion desde la epoca primitiva hasta el presente. Armas instrumentos nauticos pinacoteca. Marina deportiva y comercial. Barcos originales poco comunes. Modelos a escala. Documentos y biblioteca.,1892,"
"300083,6,6266020,,Buenos Aires,Capilla del Se–or,Museo Del Periodismo Bonaerense,Rivadavia 477,B2812DII,,,,,-34.294305,-59.098521,DNPyM,Municipal,1976,Periodicos de la provincia objetos historicos relacionados con el periodismo bonaerense antigua maquina impresora francesa de 1871.,1972,"
"300917,6,6805010,,Buenos Aires,Tigre,Museo Historico De La Prefectura Naval Argentina,Avda. Liniers 1264,B1648DAZ,11,47496161,,www.prefecturanaval.edu.ar/museo/,-34.421,-58.5878,DNPyM,Nacional,1985,Historia de la institucion: iconografia uniformes armas y explosivos maquetas de embarcaciones y aviones escudos banderas.,1985,"
"300370,6,6861010,Codigo en Vicente Lopez,Buenos Aires,Florida,Museo De La Piedra Argentina,Esteban Echeverria 333,1602,11,47609138,,,-34.533,-58.4909,DNPyM,Privada,1975,Cristalografia en general formaciones geologicas paleontologia.,1975,"
"300981,6,6371010,Codigo en General San Martin,Buenos Aires,Villa Ballester,Museo Argentino De La Gaseosa (Mag),Lacroze 5063 5¡A,B1653BFI,11,47646945,info@mag.org.ar,,-34.5472,-58.5553,DNPyM,Privada,,Coleccion de botellas de gaseosas argentinas desde principios del siglo XX hasta la actualidad. Documentos  maquinarias y diversos objetos que se utilizaron en la industria de la gaseosa.,,"
"300979,6,6756010,Codigo en San Isidro,Buenos Aires,Villa Adelina,Museo De La Palabra,Luis Maria Drago 2265,B1607CYC,11,47668746,,,-34.5202,-58.5522,DNPyM,Privada,1985,Archivo de voces desde 1877 hasta el presente de personalidades nacionales y extranjeras de diferentes epocas y disciplinas registradas en discos cilindros alambres de grabacion cintas abiertas y cassettes: O. Wilde Sabin Sartre G. Spano Neruda,1985,"
"300973,6,6861010,,Buenos Aires,Vicente L—pez,Museo Romulo Raggio,Gaspar Campos 861,B1638ARO,11,47910868,,,-34.528,-58.4754,DNPyM,Privada,1983,Pinturas esculturas ceramicas grabados dibujos y tapices de artistas argentinos contemporaneos. Del siglo XX,1983,"
"300371,6,6861010,Codigo en Vicente Lopez,Buenos Aires,Florida,Museo Forrajeria De La Familia Garcia,Gral. Jose Maria Paz 1584,B1602AYD,11,47969556,,,-34.526868,-58.491632,DNPyM,Privada,2001,Ambientacion de epoca con la intencion de preservar la memoria de la comunidad de Florida. La forrajeria era un negocio tipico de principos del siglo XX. Este negocio en particular inicia sus actividades en 1920. Integran la muestra balanzas basculas,2001,"
"300541,6,6756010,Codigo en San Isidro,Buenos Aires,Mart’nez,Museo Chavin De Huantar,Luis Saenz Pe–a 2864,B1640ITF,11,47981835,,,-34.4987,-58.5006,DNPyM,Privada,1971,Pintura argentina y latinoamericana. El museo lleva el nombre de Chavin por la arquitectura peruana y en honor al Peru. Ademas posee artesanias de todo tipo y colecciones de porcelanas europeas de los siglos XVIII XIX y XX. Recuerdos de grandes personal,1971,"
"300752,6,6371010,Codigo en General San Martin,Buenos Aires,San Andr_s,Museo Historico Regional Brigadier General Don Juan Manuel De Rosas,Diego Pombo 3324,B1651AFJ,11,48300683,,,-34.566183,-58.544521,DNPyM,,1992,Casa historica construida por Rosas para su alojamiento.,,"
"300982,6,6371010,Codigo en General San Martin,Buenos Aires,Villa Ballester,Museo Historico Jose Hernandez - Chacra Pueyrredon,Presbitero Carballo 5042 (Calle 111),B1653IPD,11,48475035,,,-34.5619,-58.5729,DNPyM,Municipal,,Colecciones relativas al combate de Perdriel (1806) y a Jose Hernandez. Armas mobiliario elementos gauchescos.,1970,"
"300538,6,6525020,,Buenos Aires,Marcos Paz,Museo De Arte Hispano Luso Americano Y Del Folklore,Hipolito Irigoyen 377,B1727BAG,220,4771110,,,-34.7843,-58.8326,DNPyM,Privada,1948,Imagineria pintura mobiliario y artesania folklorica de textiles ceramica plumas astas metales cuero y madera.,1948,"
"301038,6,6427010,Codigo en La Matanza,Buenos Aires,Virrey del Pino,Museo Historico Municipal Brigadier Gral. Don Juan Manuel De Rosas,M. Herrera y Colastine (Ruta Nac. Nro. 3 Km. 40.2),1759,2202,494757,,,-34.853094,-58.656709,DNPyM,Municipal,1972,La casa que ocupa el museo fue propiedad del Virrey Joaquin del Pino y posteriormente de Juan Manuel de Rosas. En ella se firmo el pacto de ca–uelas entre Rosas y Lavalle el 24 de junio de 1829. Hoy la Estancia del Pino es monumento historico nacional.,,"
"300452,6,6441030,,Buenos Aires,La Plata,Museo Y Galeria Fotografica Mugafo Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,B1900TQU,221,4176795,,,-34.926257,-57.961684,DNPyM,Municipal,,Orientacion testimonial y documentalista. Conserva como archivo los cuadernos con las declaraciones de los visitantes y en formato digital todas las fotografias que formaron parte de la muestra.,,"
"300456,6,6441030,,Buenos Aires,La Plata,Museo Provincial De Bellas Artes Emilio Pettoruti,Avda. 51 N¡ 525 E/5 y 6,B1900AVK,221,4218619,,,-34.913773,-57.947692,DNPyM,Provincial,1926,Pintura europea siglos XVII al XIX. Arte argentino fundamentalmente de las decadas del 30 al 40 esculturas dibujos y grabados de los siglos XIX y XX.,1926,"
"300462,6,6441030,,Buenos Aires,La Plata,Museo Grafico E Historico Del Club De Gimnasia Y Esgrima La Plata,4 N¡ 979,B1900TDT,221,4222510,,,-34.913027,-57.945249,DNPyM,Privada,2004,Historia institucional social y deportiva del Club Gimnasia y Esgrima de La Plata.desde su fundacion el 3 de junio de 1887 hasta la fecha.,2004,"
"300474,6,6441030,,Buenos Aires,La Plata,Museo Policial,Calle 54 N¡ 393 Entre 2 y 3,B1900BDO,221,4231876,,,-34.912075,-57.942017,DNPyM,Provincial,1949,Reservorio historico-institucional y demostrativo del quehacer criminalistico de la policia bonaerense y del cuerpo de bomberos. Archivo y biblioteca. Documentos relacionados con Juan Vucetich creador del sistema dactiloscopico argentino.,2007,"
"300464,6,6441030,,Buenos Aires,La Plata,Museo De La Plata,Paseo del Bosque S/N,1900,221,4234910,,,-34.9106,-57.9416,DNPyM,Nacional,1884,Ciencias naturales antropologia arqueologia y etnografia mas de tres millones y medio de piezas. El valor de las colecciones lo hacen uno de los museos de ciencias naturales mas importantes del mundo. Conserva piezas unicas de incalculable valor cient,1888,"
"300465,6,6441030,,Buenos Aires,La Plata,Museo Municipal De Arte,Calle 50 Entre 6 y 7. Pasaje Dardo Rocha,B1900ASW,221,4235033,museomumart@yahoo.com.ar,,-34.9143,-57.9493,DNPyM,Municipal,1959,Grabados y obras de artistas plasticos nacionales y extranjeros.,1905,"
"300453,6,6441030,,Buenos Aires,La Plata,Museo De Anatomia Veterinaria Dr. Victor Manuel Arroyo,Calle 60 y 118,B1904AAO,221,4236663,,,-34.91114,-57.930749,DNPyM,Nacional,1909,Piezas anatomicas disecadas y desecadas de animales domesticos y silvestres,,"
"300472,6,6441030,,Buenos Aires,La Plata,Museo De Odontologia Orestes Walter Siutti,50 E/ 1 y 15 - Facultad de Odontologia,1900,221,4236777,,,-34.908329,-57.943054,DNPyM,Nacional,,La coleccion presenta la evolucion de la odontologoa a travez de los tiempos el instrumental utilizado y los tratamientos. Hacer conocer a las nuevas generaciones como fueron sus origenes. La exposicion se lleva a cabo en base a asignaturas que se dict,2001,"
"300458,6,6441030,,Buenos Aires,La Plata,Museo De Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,B1900ADX,221,4240401,museo azzarini@hotmail.com,,-34.9113,-57.9537,DNPyM,Nacional,1985,600 instrumentos musicales occidentales y etnograficos de todas partes del mundo desde el siglo XVII en adelante. Cajas de musica y reproductores de sonido. Partituras fonoteca y biblioteca especializada.,1989,"
"300451,6,6441030,,Buenos Aires,La Plata,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Medicas,1900,221,4241596,,,-34.909535,-57.928953,DNPyM,Nacional,,Su patrimonio esta formado por donacion de distintas catedras de la facultad de medicina hospitales de la region y de particulres. Consta de 2000 piezas. Instrumental de distintas especialidades medicas y de las diferentes tecnicas terapeuticas utilizad,,"
"300471,6,6441030,,Buenos Aires,La Plata,Museo Del Tango Platense Oscar A. Bozzarelli,15 N_ 1579,B1904CTG,221,4242698,,,-34.932314,-57.944732,DNPyM,Privada,,Colecciones de fotografias instrumentos musicales indumentaria y efectos personales de interpretes locales (cantores cancionistas musicos y bailarines) y aparatos reproductores de sonido. Biblioteca de tango lunfardo cine y teatro nacional partitu,1999,"
"300459,6,6441030,,Buenos Aires,La Plata,Museo De La Artesania Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N¡ 417,B1902CHQ,221,4244684,,,-34.9111,-57.9433,DNPyM,Privada,1986,Artesanias tradicionales de cada provincia o region. Colecciones de piezas artesanales en tejido cuero fibra vegetal metales madera alfareria imagineria etc.,1990,"
"300470,6,6441030,,Buenos Aires,La Plata,Museo De Fisica,Calle 115 Entre 49 y 50 S/N,1900,221,4246062,,,-34.907913,-57.942886,DNPyM,Nacional,1994,Instrumentos de ense–anza de fisica en su mayoria comprados en Alemania en 1906 (2000 objetos) para la creacion del Instituto de Fisica de La Plata. Libros de fisica revistas y documentos anteriores a 1930.,1998,"
"300460,6,6441030,,Buenos Aires,La Plata,Museo Jose Juan Podesta,10 N¡ 727 Entre 46 y 47,B1900TIY,221,4248457,,,-34.91512,-57.956169,DNPyM,Municipal,,""La casa del creador del teatro criollo rioplatense """"Don Pepe Podesta"""" hubicada en el primer piso del Teatro Coliseo Podesta de La Plata fue sin lugar a dudas el escenario propicio para la instalacion del museo que cuenta la historia del teatro naciona"",1995,,,,,,,,,,,,,,,,,,,,"
"300064,6,6098010,,Buenos Aires,Berisso,Museo De La Soda Y El Sifon,60 N¡ 768 / 128 (Rotonda),B1924CKS,221,4248537,,,-34.901699,-57.921988,DNPyM,Privada,,La coleccion consta de 3800 sifones maquinas de llenado antiguas herramientas de soderia cubre y porta sifones publicidades carteles enlozados coleccion de botellas de gaseosas sifoncitos de publicidad botellas de soda fotografias de soderias.,,"
"300468,6,6441030,,Buenos Aires,La Plata,Museo De Arte Contemporaneo Beato Angelico,Calle 47 Entre 16 y Diag. 73,B1900AKQ,221,4248906,museobangelico@ucalp.edu.ar,www.ucalp.edu.ar,-34.9216,-57.9616,DNPyM,Privada,1980,Dibujos pinturas grabados ceramicas esculturas y murales.,1980,"
"300461,6,6441030,,Buenos Aires,La Plata,Museo De Arte Contemporaneo Latinoamericano (Macla),50 E/ 6 y 7 Pasaje Dardo Rocha,B1900ASW,221,4271843,,,-34.920184,-57.941166,DNPyM,Municipal,2003,El patrimonio del museo del Macla esta conformado principalmente por autores contemporaneos latinoamericanos. Su coleccion ha sido conformada por donaciones requeridas a los artistas quienes son cofundadores del museo.,2003,"
"300467,6,6441030,,Buenos Aires,La Plata,Museo Eclesiastico Catedral,Calle 14 Entre 51 y 53,B1900DVL,221,4273504,museo-catedral@yahoo.com.ar,www.catedraldelaplata.com,-34.9222,-57.9557,DNPyM,Provincial,1977,Materiales y herramientas utilizadas para la construccion de la Catedral proyectos y otros testimonios de la obra. Ilustraciones referidas a vitrales silleria del coro esculturas y detalles arquitectonicos. Historia de aspectos religiosos y la evoluci,1977,"
"300455,6,6441030,,Buenos Aires,La Plata,Museo Almafuerte,Calle 66 530,B1904ASJ,221,4275631,,,-34.9246,-57.9331,DNPyM,Municipal,1909,Colecciones referidas a la vida y obra de Almafuerte. Mobiliario obras de arte objetos de uso y manuscritos del poeta.,1909,"
"300385,6,6301010,,Buenos Aires,General Belgrano,Museo Historico Municipal Alfredo E. Mulgura,Avda. Larrea 454,B7223GUO,,,,,-35.769121,-58.493413,DNPyM,Municipal,,La coleccion proviene de la donacion del Sr. Alfredo Mulgura. Contiene objetos liticos (morteros piedras de boleadoras etc.) gauchescos y rurales fotografias de antiguos pobladores artesanias. Coleccion de instrumentos musicales. Mobiliario de la pa,2001,"
"300394,6,6322010,,Buenos Aires,Gral. la Madrid,Archivo Y Museo Historico Juan Carlos Pacin,San Martin 545,B7406AMK,,,,,-37.252695,-61.259562,DNPyM,Municipal,,Consultar,1987,"
"300473,6,6441030,,Buenos Aires,La Plata,Museo De Calcos,Diagonal 78 N 680 Oficina 16,B1904BTD,221,4276304,,,-34.922339,-57.94179,DNPyM,Nacional,2004,Amplia y valiosa coleccion de esculturas y pinturas el 90 % son de yeso-calcos forman parte de los bienes patrimoniales que llegaron de Europa a fines del S. XIX se trata de piezas de la historia del arte griego romantico gotico y renacentista.,2004,"
"300463,6,6441030,,Buenos Aires,La Plata,Museo Del Automovil Coleccion Rau,Av. 1 N_ 121 Entre 34 y 35,B1902CGC,221,4276660,,,-34.896597,-57.960406,DNPyM,Privada,1988,,2010,"
"300469,6,6441030,,Buenos Aires,La Plata,Archivo Historico Y Museo Del Servicio Penitenciario Bonaerense,35 N¡ 535 E/ 5 y 6,B1902BBU,221,4293892,,,-34.901463,-57.964068,DNPyM,Provincial,,El acervo museologico esta integrado por colecciones de uniformes armas elementos de seguridad como asi tambien incluyen trabajos artesanales y artisticos de los internos alojados en las distintas unidades carcelarias. Su coleccion de arte esta integr,1994,"
"300351,6,6245010,,Buenos Aires,Ensenada,Museo Contraalmirante Rafael E. Chalier,Rio Santiago - Escuela Naval Militar,1927,221,43172396,,,-34.84165,-57.893365,DNPyM,Nacional,1979,Documentos del Alte. Brown (1814). Primer texto de astronomia escrito para los cadetes de la Escuela Naval Militar. Cosmografia de Munster (1558). Mobiliario (1881). Escudos emblemas y distintivos navales pabellones de combate banderas y estandartes.,1979,"
"300454,6,6441030,,Buenos Aires,La Plata,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,1909,221,4501214,rimec7@uolsinectis.com.ar,,-35.001053,-57.902284,DNPyM,Nacional,1988,Material fotografico uniformes armas banderas objetos personales.,,"
"300349,6,6245010,,Buenos Aires,Ensenada,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,B1925BNS,221,4602370,,,-34.850396,-57.92042,DNPyM,Privada,,Colecciones dedicadas a los pueblos originarios y a los pescadores procedentes de Italia Rusia Alemania y Polonia que llegaron a la Argentina para radicarse en Ensenada. Recrea las costumbres e informa sobre labores y artesanias que realizaban.,,"
"300065,6,6098010,,Buenos Aires,Berisso,Asociacion 1871 Museo De Berisso,Av. 32 Esq. Montevideo,1923,221,4613166,,,-34.877062,-57.856338,DNPyM,Privada,2005,El museo pretende contener toda la historia de la ciudad desde su formacion con un saladero hasta la actualidad con secciones dedicadas a los inmigrantes a la literatura local objetos de uso cotidiano etc.,2012,"
"300066,6,6098010,,Buenos Aires,Berisso,Museo Ornitolologico Municipal De Berisso,Montevideo 821,B1923HMH,221,4645574,,,-34.8687,-57.8837,DNPyM,Municipal,1986,Aves taxidermizadas de la zona ribere–a local huevos fotos nidos mariposas y un acuario con peces de la region.,1986,"
"300350,6,6245010,,Buenos Aires,Ensenada,Museo Historico Fuerte De La Ensenada De Barragan,Avda. Almirante Brown y Calle 60 Punta Lara,1925,221,4691642,,,-34.8215,-57.9661,DNPyM,Municipal,,Objetos relacionados con la historia del fuerte desde la instalacion de la 1ra. Bateria en 1731 cartografia de la epoca mobiliario atribuidos al Almirante Guillermo Brown. Elementos del primer avion Douglas que aterrizo en la Antartida y de otras aeron,1965,"
"300457,6,6441030,,Buenos Aires,La Plata,Museo Pictorico Indigenista Yana Kuntur,Calle 516 N¡2479 Entre 19 y 20,1900,221,4842526,rodinfq@usa.net,,-34.8989,-58.0002,DNPyM,Privada,1966,Retratos de aborigenes personajes de las letras y musicos realizados por la pintora Yana Kuntur. Objetos indigenas de arte tejidos ceramica instrumentos de labor y musicales. Altar Mapuche.,1966,"
"300307,6,6119050,,Buenos Aires,Coronel Brandsen,Micro Cosmo Museum 1Er. Complejo Museistico Mundial Del Microcosmos,Azcuenaga 926,B1980EIT,2223,3445628,,,-35.170389,-58.238246,DNPyM,Privada,1996,Miniaturas y micromundo natural con mas de dos millones de especimenes catalogados y clasificados. Aplica la mas moderna tecnologia. Historia de la microscopia. En las dependencias de este museo funcionan otros dedicados a especialidades como historia c,2002,"
"300518,6,6483040,,Buenos Aires,Lobos,Museo Y Biblioteca Provincial Presidente Juan Domingo Peron,Pte. Peron 482,B7240AAJ,2227,422843,,,-35.190349,-59.097169,DNPyM,,1953,El museo esta dedicado integramente a recordar la vida del ex presidente J. D. Peron,,"
"300369,6,6274010,,Buenos Aires,Florencio Varela,Museo Historico Provincial Guillermo E. Hudson,Calle 1356 (El Zaino) Entre Av. Hudson y 1379,1888,2229,497314,,,-34.80208,-58.264498,DNPyM,Provincial,,Funcionan tres salas con libros documentos y objetos vinculados a la vida de Guillermo Enrique Hudson. En el frente del rancho natal del gran escritor y naturalista de mas de 200 a–os de antigŸedad se emplazan dos esculturas realizadas por Oberdan Bru,,"
"300489,6,6357120,Codigo en Sierra de los Padres,Buenos Aires,Laguna de Los Padres,Museo Municipal Jose Hernandez,Ruta 226 Km. 145,B7601XAD,223,4631394,,,-37.956443,-57.771628,DNPyM,Municipal,1964,Material litico de procedencia Pampeana ceramica del Norte Argentino herramientas rurales de los siglos XIX y XX. Armas plaquetas y medallas conmemorativas. Ediciones del libro Martin Fierro en varios idiomas. Elementos de uso cotidiano.,1964,"
"300114,6,6357080,,Buenos Aires,Chapadmalal,Museo Unidad Turistica Chapadmalal Eva Peron,Ruta N_ 11 Km 33.5 Hotel N_ 5.,5857,223,4699291,,,-38.178051,-57.651372,DNPyM,Nacional,,Como punto de partida se cuenta la historia del complejo dentro del contexto historico cultural del pais de las decadas del 40« y 50« marcando hitos significativos como por ejemplo los planes quinquenales las politicas desarrolladas para los obreros e,,"
"300466,6,6441030,,Buenos Aires,La Plata,Museo Y Archivo Dardo Rocha,Calle 50 N¡ 933,B1900ATK,,,,,-34.9212,-57.9566,DNPyM,Municipal,1951,El museo ocupa parte de la antigua casa construida por Dardo Rocha y dise–ada por Pedro Benoit. Colecciones relacionadas con la personalidad del Dr. Dardo Rocha y con la fundacion de la ciudad de La Plata: mobiliario vajilla indumentaria obras de arte,1952,"
"300536,6,6357110,,Buenos Aires,Mar del Plata,Museo Municipal De Ciencias Naturales Lorenzo Scaglia,Avda. Libertad 3099,B7600HJB,223,4738791,,,-37.955666,-57.617466,DNPyM,Municipal,1938,Colecciones de zoologia principalmente de la region paleontologia de la provincia de Buenos Aires arqueologia del Noroeste Argentino y de Pampa-Patagonia acuario de especies marinas y de agua dulce mineralogia.,1939,"
"300535,6,6357110,,Buenos Aires,Mar del Plata,Museo Municipal De Arte Juan Carlos Castagnino,Avda. Colon 1189 - Villa Ortiz Basualdo,B7600FXE,223,4861636,,,-38.010598,-57.535927,DNPyM,Municipal,1949,Pinturas dibujos esculturas fotografias y grabados de artistas argentinos 1920 hasta la actualidad. Obras de Juan Carlos Castagnino pintura y dibujo. Mobiliario original belga y decoraciones de estilo art-nouveau.,1949,"
"300534,6,6357110,,Buenos Aires,Mar del Plata,Centro Cultural Victoria Ocampo,Matheu 1851,B7602GAK,223,4920569,gestion@cultura.mardelplata.cultura.com.ar,,-38.0199,-57.5528,DNPyM,Municipal,,La villa es un edificio patrimonial construido en 1912. Pertenecio a Victoria Ocampo intelectual escritora ensayista y editira de la Revista Sur.,,"
"300537,6,6357110,,Buenos Aires,Mar del Plata,Archivo Museo Historico Municipal Roberto T. Barili,Lamadrid 3870,B7602CQV,223,4951200,,,-38.0208,-57.5528,DNPyM,Municipal,1969,Archivo documental expedientes municipales y judiciales desde fines del siglo XIX hasta 1980. Fotografias desde los origenes de la ciudad hasta el presente objetos pertenecientes a los primeros pobladores. Documentos medallistica pinturas hemeroteca,1969,"
